letter,special,anti,kangaroo,"
joey",secondjoey,antijoey,"kangaroodefinition
","joeydefinition
",secondjoeydefinition,antijoeydefinition,,,,
A,not-special,no-anti,"
aberrant",errant,,,(adj.) departing from an accepted standard.,(adj.) erring or straying from the proper course or standards.,,,,,,
A,not-special,no-anti,abnormality,anomaly,,,"(noun) an abnormal feature, characteristic, or occurrence, typically in a medical context.","(noun) something that deviates from what is standard, normal, or expected.",,,,,,
A,not-special,no-anti,abide,bide,,,"(verb) accept or act in accordance with (a rule, decision, or recommendation).
(informal) be unable to tolerate.",(verb) remain or stay somewhere.,,,,,,"
"
A,not-special,anti,abuse,,,use,(verb) use (something) to bad effect or for a bad purpose; misuse.,"
",,"(verb) take, hold, or deploy (something) as a means of accomplishing a purpose or achieving a result; employ.
",,,,
A,not-special,no-anti,acclimatize,acclimate,,,(verb) become accustomed to a new climate or to new conditions.,(technical) respond physiologically or behaviorally to a change in conditions in the natural environment.,,,,,,"
"
A,not-special,no-anti,accustomed,accustom,used,,(adj.) customary; usual.,(verb) make (someone or something) accept something as normal or usual.,(verb) be or become familiar with someone or something through experience.,,,,,
A,not-special,no-anti,acrid,acid,,,(adj.) having an irritatingly strong and unpleasant taste or smell.,(adj.) sharp-tasting or sour.,,,,,,
A,not-special,no-anti,action,act,,,"(noun) the fact or process of doing something, typically to achieve an aim.
(noun) doing something, typically the way in which a mechanism works or a person moves.
","(noun) fulfill the function or serve the purpose of.
(verb) perform a fictional role in a play, movie, or television production.


",,,,,,
A,not-special,no-anti,addlepated,addled,,,"(adj.) being mixed up, confused.
(adj.) eccentric.","(adj.) unable to think clearly; confused.
(of an egg) rotten.",,,,,,
A,not-special,no-anti,admixture,mixture,,,"(noun) a mixture.
(noun) the action of adding an ingredient to something else.
","(noun) a substance made by mixing other substances together.
(noun) the process of mixing or being mixed.
(noun) a combination of different qualities, things, or emotions in which the component elements are individually distinct.",,,,,,
A,not-special,no-anti,admonish,monish,,,(verb) advise or urge (someone) earnestly.,(verb) warn strongly; put on guard.,,,,,,
A,not-special,no-anti,adroitness,art,,,(noun) cleverness or skill.,"(noun) a skill at doing a specified thing, typically one acquired through practice.",,,,,,
A,not-special,no-anti,adventuresome,venturesome,,,(adj.) given to adventures or to running risks; adventurous.,(adj.) willing to take risks or embark on difficult or unusual courses of action.,,,,,,
A,not-special,no-anti,adventurous,venturous,,,"(adj.) willing to take risks or to try out new methods, ideas, or experiences.
(adj.) involving new ideas or methods.
(adj.) full of excitement.",(adj.) disposed to venture or take risks.,,,,,,
A,not-special,no-anti,affect,act,,,"(verb) have an effect on; make a difference to.
(verb) touch the feelings of (someone); move emotionally.",(verb) take effect; have a particular effect.,,,,,,
A,not-special,no-anti,aggravated,grated,,,"(adj.) (of an offense, problem, or injury made worse or more serious.
(informal) annoy or exasperate (someone), especially persistently.",(verb) have an irritating effect.,,,,,,
A,not-special,no-anti,allocate,allot,,,(verb) distribute (resources or duties) for a particular purpose.,(verb) give or apportion (something) to someone as a share or task.,,,,,,
A,not-special,no-anti,allurement,lure,,,(noun) the power to entice or attract through personal charm.,"(verb) tempt (a person or animal) to do something or to go somewhere, especially by offering some form of reward.",,,,,,
A,special,no-anti,alone,lone,one,,"(adj.) having no one else present.
(adj.) isolated and alone.
(adv.) indicating that something is confined to the specified subject or recipient.","(adj.) having no comparisons; solitary or single.
(literary) (of a place) unfrequented and remote.
",(noun) single; just one as opposed to any more or to none at all (used for emphasis).,,,,,
A,not-special,no-anti,alternative,alternate,,,"(adj.) (of one or more things) available as another possibility.
(noun) one of two or more available possibilities.","(verb)  occur in turn repeatedly.
(adj.) (of two things) each following and succeeded by the other in a regular pattern.",,,,,,
A,not-special,no-anti,amicable,amiable,,,(adj.) (of relations between people) having a spirit of friendliness; without serious disagreement or rancor.,(adj.) having or displaying a friendly and pleasant manner.,,,,,,
A,special,no-anti,amicability,amiability,amity,,(adj.) having a disposition characterized by warmth and friendliness.,(noun) the quality of having a friendly and pleasant manner; geniality.,(noun) (formal) a friendly relationship.,,,,,
A,not-special,no-anti,analogue,analog,,,"(adj.) relating to or using signals or information represented by a continuously variable physical quantity such as spatial position, voltage, etc.","(adj.) relating to or using signals or information represented by a continuously variable physical quantity such as spatial position, voltage, etc.
(adj.) not involving or relating to the use of computer technology, as a contrast to a digital counterpart.
(noun) a person or thing seen as comparable to another.",,,,,,
A,not-special,anti,animosity,,,amity,(noun) strong hostility.,,,(noun) (formal) a friendly relationship.,,,,
